,wholesale,eeg,community,grid
2022-12-31 23:00:00,-0.00517,0.07,0,0.1367338641355536
2023-01-01 00:00:00,-0.00107,0.07,0,0.1295302715292378
2023-01-01 01:00:00,-0.00147,0.07,0,0.1200957155411152
2023-01-01 02:00:00,-0.00508,0.07,0,0.1153649980086094
2023-01-01 03:00:00,-0.00449,0.07,0,0.1085645915556322
2023-01-01 04:00:00,-0.0054,0.07,0,0.1080538890947366
2023-01-01 05:00:00,-0.0050199999999999,0.07,0,0.1065217817120501
2023-01-01 06:00:00,-0.0013,0.07,0,0.107758219248955
2023-01-01 07:00:00,-0.0014399999999999,0.07,0,0.1109299503218851
2023-01-01 08:00:00,-0.00109,0.07,0,0.1206332970789
2023-01-01 09:00:00,-0.00107,0.07,0,0.1209558460015709
2023-01-01 10:00:00,-0.00107,0.07,0,0.1268692429172032
2023-01-01 11:00:00,-0.00079,0.07,0,0.1364919524435504
2023-01-01 12:00:00,-0.00027,0.07,0,0.1222729207691435
2023-01-01 13:00:00,0.00085,0.07,0,0.1202301109255614
2023-01-01 14:00:00,0.02353,0.07,0,0.1252296192269597
2023-01-01 15:00:00,0.0365399999999999,0.07,0,0.1424322284360721
2023-01-01 16:00:00,0.04603,0.07,0,0.161973317334548
2023-01-01 17:00:00,0.05557,0.07,0,0.1629140850256714
2023-01-01 18:00:00,0.05495,0.07,0,0.1622421081034404
2023-01-01 19:00:00,0.0492299999999999,0.07,0,0.154285901344226
2023-01-01 20:00:00,0.04499,0.07,0,0.1447707081254357
2023-01-01 21:00:00,0.04596,0.07,0,0.143668665972977
2023-01-01 22:00:00,0.035,0.07,0,0.1336427702932912
2023-01-01 23:00:00,0.0579099999999999,0.07,0,0.1254984099958521
2023-01-02 00:00:00,0.05167,0.07,0,0.1140479232410367
2023-01-02 01:00:00,0.05293,0.07,0,0.1104461269378788
2023-01-02 02:00:00,0.04409,0.07,0,0.1075163075569519
2023-01-02 03:00:00,0.05008,0.07,0,0.1009309337190886
2023-01-02 04:00:00,0.06972,0.07,0,0.1048283998680281
2023-01-02 05:00:00,0.1050799999999999,0.1050799999999999,0,0.1131340346268026
2023-01-02 06:00:00,0.14064,0.14064,0,0.1208483296940139
