,solar,solar_0,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20,solar_21,solar_22,solar_23,solar_24,solar_25,solar_26,solar_27,solar_28,solar_29
2022-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:00:00,0.002,0.0010415717714322,0.0015274474942407,0.0016095510898975,0.0024998420557395,0.0022818310817068,0.0015893393949022,0.0026587872871754,0.0027066473817452,0.0026536689201315,0.001989755606171,0.0029735360858436,0.0020503983175605,0.0026010004958211,0.0010842180939502,0.0018348823182865,0.0028953062161166,0.0027128684920943,0.0026414009468024,0.0012531863230768,0.0023329479756679,0.0020363557766134,0.0015916993910941,0.0012258837968161,0.0019353960008198,0.0013587139520108,0.002191208551015,0.0021634209300492,0.0011045068428238,0.0018799079316643,0.0024541025784812
2023-01-01 11:00:00,0.025,0.0143068805772313,0.0335157783707016,0.0139936233817918,0.0329173830310227,0.0155028474132218,0.0298977172186669,0.035755900270532,0.0357715124013304,0.0238794684033131,0.0236280721423348,0.0292066671578094,0.0320823227225791,0.0125324815506987,0.0297501137674639,0.0166120207533926,0.0193634923553275,0.0328596033224165,0.0270374799832137,0.0339920907689323,0.0161700684508083,0.0323307438716186,0.0269176223839405,0.0252252250002497,0.0149507375711115,0.0273949871933151,0.0135217583322864,0.0164973696568375,0.0192806282466326,0.0342753063120571,0.0348806398208841
2023-01-01 12:00:00,0.018,0.0156717593437625,0.0199994118014738,0.0169818966543652,0.0187460626779247,0.0136036627775885,0.019921692846192,0.0144480443126112,0.0157288945132159,0.0172786743467808,0.0188454539704646,0.0120111180768254,0.0255970751730725,0.0206241964877085,0.0178555086820139,0.0120168292247051,0.0262423542713853,0.0162415225323689,0.0091205425583213,0.023037208436879,0.0198493063867419,0.0152874571108826,0.0146967260415838,0.0102555115975117,0.0226163357730047,0.0194271428942204,0.0182079845628533,0.0139690390259198,0.0101078697401162,0.0214787242904328,0.0145235611926305
2023-01-01 13:00:00,0.024,0.0280548598552413,0.033239872577609,0.0132853561491375,0.0286386026363368,0.0219315350322391,0.0227630802109664,0.0185447248678671,0.0359672983520947,0.0163247449363781,0.0144429997875058,0.0288734191567378,0.0266553099501048,0.0179351460746739,0.0178750109714172,0.0197486553398122,0.031142528214315,0.0313231586052369,0.0314588576198827,0.0120302351276597,0.0346952599471541,0.0152114115743627,0.0327972443816906,0.0141261170766862,0.0209920583972269,0.014534327195721,0.0226288920216799,0.0244692134423867,0.0228592470635659,0.0286843989652787,0.0187592830215481
2023-01-01 14:00:00,0.023,0.0289452951123562,0.0184922776325976,0.0142398109489676,0.0155688265722248,0.0238674872330865,0.0323694210941391,0.024295378689575,0.0297024394156286,0.0164754686713143,0.0341649660944735,0.0211952032128829,0.0300985936762222,0.0339673286182694,0.0223709643322544,0.0302486117651598,0.0183045260795532,0.0343675889525624,0.0214545173408146,0.0290544725710214,0.0330359623568849,0.019095773612154,0.019846122862695,0.0267338412777465,0.0309729219337307,0.0120273872579415,0.0192153170714216,0.0157711946863982,0.0290249830271002,0.0278715709599699,0.0295550889612789
2023-01-01 15:00:00,0.005,0.0061788789170086,0.0025716424440522,0.0061940332599628,0.0066182874481666,0.0037252962583179,0.0050026893154575,0.0067650167928233,0.0048874305087467,0.0060855335387751,0.0050699992072641,0.007031184673152,0.0055338602687918,0.0044600661856419,0.0074789356974038,0.0031331954760706,0.0065175623626738,0.0032846349418464,0.0071507771520248,0.0070176702946765,0.0035317592831271,0.0063095834742331,0.0037265954286041,0.0038562955068102,0.0037974177333991,0.0053677478063139,0.0044622995423261,0.0049082298976554,0.0072746333027317,0.0039595237693393,0.0057402151331531
2023-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 10:00:00,0.011,0.0101485870287781,0.0159295177000476,0.0109166199919851,0.0148042090295689,0.0143199145474853,0.0156715190679864,0.0136389139641848,0.0138018321741448,0.0157030616644528,0.0164393969833113,0.0071234778226995,0.006231125445071,0.0097585921237233,0.012080172358311,0.0133504235149675,0.0121156566823565,0.0068628388539361,0.0079344916389361,0.0089693746884455,0.0086279953708643,0.0112923983778641,0.012465915941905,0.0070219615569621,0.0118782656451951,0.0092438506820794,0.0060401226542607,0.0161817830116318,0.0063325500248614,0.0067173511854796,0.0121897181173618
2023-01-02 11:00:00,0.033,0.0277756025923788,0.0307603434324523,0.0299605163139885,0.0306169262642878,0.029971516928854,0.0306567468591149,0.0442324865483448,0.0349829140157876,0.0403877037524833,0.0326922198750923,0.0214996117882075,0.0387830981259532,0.0397519823585225,0.0251333084190029,0.0301715654864444,0.0216074957691664,0.0367454285445792,0.0355628301433435,0.0337200830605034,0.0277484716346219,0.0490952285332919,0.0457304165938967,0.0224631052786338,0.0368211519990441,0.0236334581213394,0.0275548062662156,0.0487039711787752,0.0318504890999549,0.0310523158442974,0.035363536259969
